iter	Passed	Remaining
414	2999	4227
415	3005	4219
416	3012	4211
417	3017	4201
418	3022	4191
419	3028	4181
420	3033	4172
421	3040	4164
422	3046	4155
423	3052	4146
424	3058	4137
425	3063	4127
426	3069	4119
427	3076	4111
428	3082	4102
429	3088	4093
430	3094	4085
431	3100	4076
432	3107	4069
433	3114	4061
434	3120	4053
435	3126	4044
436	3131	4035
437	3137	4025
438	3142	4015
439	3148	4006
440	3154	3998
441	3160	3989
442	3166	3981
443	3172	3973
444	3178	3964
445	3184	3955
446	3189	3945
447	3195	3937
448	3201	3928
449	3207	3920
450	3214	3912
451	3220	3904
452	3226	3896
453	3232	3887
454	3237	3878
455	3242	3868
456	3248	3860
457	3255	3852
458	3262	3844
459	3268	3836
460	3274	3827
461	3279	3819
462	3284	3809
463	3289	3800
464	3295	3792
465	3302	3784
466	3308	3775
467	3321	3775
468	3327	3767
469	3333	3759
470	3340	3751
471	3345	3742
472	3350	3732
473	3356	3725
474	3364	3718
475	3371	3710
476	3379	3704
477	3386	3698
478	3394	3692
479	3401	3684
480	3410	3679
481	3421	3677
482	3429	3670
483	3436	3663
484	3445	3658
485	3451	3650
486	3459	3644
487	3468	3639
488	3475	3631
489	3481	3623
490	3487	3615
491	3494	3607
492	3500	3599
493	3506	3591
494	3511	3582
495	3517	3574
496	3523	3566
497	3529	3558
498	3536	3550
499	3543	3543
500	3550	3535
501	3556	3528
502	3563	3520
503	3569	3512
504	3575	3505
505	3583	3498
506	3589	3490
507	3597	3484
508	3604	3476
509	3610	3469
510	3617	3461
511	3623	3453
512	3630	3446
513	3637	3439
514	3643	3431
515	3649	3423
516	3655	3415
517	3661	3407
518	3667	3398
519	3673	3391
520	3679	3382
521	3685	3375
522	3692	3367
523	3699	3360
524	3707	3354
525	3715	3347
526	3722	3341
527	3731	3335
528	3739	3329
529	3746	3322
530	3753	3314
531	3761	3309
532	3770	3303
533	3777	3296
534	3786	3291
535	3794	3285
536	3803	3279
537	3810	3272
538	3818	3266
539	3824	3258
540	3832	3251
541	3838	3243
542	3844	3235
543	3853	3229
544	3861	3224
545	3868	3216
546	3874	3208
547	3880	3200
548	3885	3192
549	3892	3184
550	3898	3176
551	3905	3169
552	3911	3161
553	3918	3154
554	3925	3147
555	3931	3139
556	3938	3132
557	3944	3124
558	3951	3117
559	3957	3109
560	3964	3102
561	3970	3094
562	3977	3086
563	3983	3079
564	3991	3072
565	3998	3065
566	4004	3058
567	4011	3050
568	4018	3043
569	4024	3035
570	4031	3029
571	4038	3021
572	4045	3014
573	4052	3007
574	4059	3000
575	4067	2994
576	4075	2987
577	4085	2983
578	4095	2978
579	4103	2971
580	4109	2963
581	4117	2957
582	4125	2950
583	4132	2943
584	4140	2937
585	4146	2929
586	4156	2924
587	4163	2917
588	4169	2909
589	4175	2901
590	4180	2893
591	4187	2885
592	4193	2877
593	4199	2870
594	4206	2863
595	4212	2855
596	4218	2847
597	4224	2839
598	4230	2832
599	4237	2825
600	4245	2818
601	4253	2811
602	4259	2804
603	4265	2796
604	4271	2788
605	4276	2780
606	4281	2772
607	4287	2764
608	4294	2757
609	4300	2749
610	4306	2742
611	4312	2734
612	4319	2726
613	4326	2719
614	4335	2713
615	4341	2706
616	4348	2699
617	4355	2691
618	4361	2684
619	4367	2677
620	4374	2669
621	4381	2662
622	4387	2655
623	4394	2647
624	4400	2640
625	4406	2632
626	4412	2625
627	4418	2617
628	4424	2609
629	4430	2602
630	4436	2594
631	4442	2586
632	4448	2579
633	4454	2571
634	4460	2564
635	4466	2556
636	4472	2548
637	4478	2541
638	4483	2533
639	4489	2525
640	4494	2517
641	4501	2510
642	4507	2502
643	4513	2494
644	4519	2487
645	4524	2479
646	4531	2472
647	4537	2465
648	4542	2456
649	4548	2449
650	4554	2441
651	4561	2434
652	4566	2426
653	4572	2419
654	4577	2411
655	4583	2403
656	4588	2395
657	4595	2388
658	4601	2381
659	4608	2374
660	4614	2366
661	4621	2359
662	4628	2352
663	4634	2344
664	4642	2338
665	4649	2331
666	4655	2324
667	4662	2317
668	4668	2309
669	4673	2302
670	4679	2294
671	4685	2286
672	4690	2278
673	4695	2271
674	4702	2264
675	4708	2256
676	4714	2249
677	4719	2241
678	4726	2234
679	4733	2227
680	4738	2219
681	4744	2212
682	4749	2204
683	4755	2197
684	4762	2190
685	4768	2182
686	4774	2175
687	4782	2168
688	4789	2161
689	4795	2154
690	4801	2146
691	4807	2139
692	4813	2132
693	4817	2124
694	4824	2117
695	4830	2109
696	4836	2102
697	4842	2095
698	4848	2087
699	4854	2080
700	4859	2072
701	4864	2065
702	4870	2057
703	4876	2050
704	4882	2043
705	4889	2036
706	4896	2029
707	4902	2021
708	4907	2014
709	4913	2007
710	4919	1999
711	4924	1991
712	4929	1984
713	4936	1977
714	4943	1970
715	4949	1963
716	4955	1955
717	4960	1948
718	4965	1940
719	4971	1933
720	4976	1925
721	4983	1918
722	4989	1911
723	4995	1904
724	5001	1897
725	5007	1889
726	5012	1882
727	5017	1874
728	5025	1868
729	5032	1861
730	5040	1854
731	5046	1847
732	5051	1840
733	5057	1832
734	5064	1825
735	5070	1818
736	5076	1811
737	5083	1804
738	5089	1797
739	5094	1790
740	5100	1782
741	5105	1775
742	5111	1768
743	5117	1760
744	5124	1754
745	5130	1746
746	5136	1739
747	5143	1732
748	5149	1725
749	5157	1719
750	5163	1711
751	5169	1704
752	5175	1697
753	5180	1690
754	5185	1682
755	5191	1675
756	5197	1668
757	5204	1661
758	5210	1654
759	5216	1647
760	5222	1640
761	5228	1633
762	5234	1625
763	5241	1619
764	5246	1611
765	5251	1604
766	5258	1597
767	5264	1590
768	5270	1583
769	5288	1579
770	5293	1572
771	5298	1564
772	5305	1557
773	5311	1550
774	5317	1543
775	5323	1536
776	5329	1529
777	5336	1522
778	5342	1515
779	5347	1508
780	5352	1500
781	5358	1493
782	5365	1486
783	5371	1479
784	5376	1472
785	5382	1465
786	5387	1458
787	5392	1450
788	5399	1443
789	5405	1436
790	5411	1429
791	5418	1423
792	5424	1416
793	5430	1408
794	5436	1401
795	5443	1395
796	5448	1387
797	5453	1380
798	5459	1373
799	5465	1366
800	5471	1359
801	5477	1352
802	5483	1345
803	5488	1338
804	5494	1330
805	5500	1323
806	5506	1316
807	5512	1309
808	5518	1302
809	5524	1295
810	5529	1288
811	5535	1281
812	5541	1274
813	5547	1267
814	5554	1260
815	5560	1253
816	5566	1246
817	5572	1239
818	5578	1232
819	5584	1225
820	5590	1218
821	5594	1211
822	5600	1204
823	5606	1197
824	5612	1190
825	5618	1183
826	5623	1176
827	5628	1169
828	5634	1162
829	5641	1155
830	5647	1148
831	5656	1142
832	5661	1135
833	5668	1128
834	5674	1121
835	5680	1114
836	5687	1107
837	5693	1100
838	5699	1093
839	5704	1086
840	5710	1079
841	5715	1072
842	5721	1065
843	5728	1058
844	5734	1051
845	5740	1044
846	5747	1038
847	5754	1031
848	5760	1024
849	5767	1017
850	5773	1010
851	5779	1004
852	5785	997
853	5791	990
854	5797	983
855	5802	976
856	5809	969
857	5816	962
858	5822	955
859	5828	948
860	5835	942
861	5841	935
862	5848	928
863	5854	921
864	5861	914
865	5867	907
866	5873	900
867	5878	893
868	5884	887
869	5889	880
870	5896	873
871	5902	866
872	5908	859
873	5914	852
874	5919	845
875	5925	838
876	5930	831
877	5936	824
878	5942	818
879	5948	811
880	5955	804
881	5961	797
882	5968	790
883	5974	784
884	5980	777
885	5986	770
886	5991	763
887	5996	756
888	6002	749
889	6008	742
890	6014	735
891	6019	728
892	6025	721
893	6030	715
894	6036	708
895	6043	701
896	6049	694
897	6055	687
898	6066	681
899	6071	674
900	6076	667
901	6083	660
902	6089	654
903	6096	647
904	6102	640
905	6109	633
906	6116	627
907	6123	620
908	6129	613
909	6136	606
910	6143	600
911	6150	593
912	6156	586
913	6162	579
914	6168	573
915	6174	566
916	6180	559
917	6184	552
918	6191	545
919	6197	538
920	6203	532
921	6211	525
922	6219	518
923	6224	512
924	6231	505
925	6236	498
926	6243	491
927	6249	484
928	6256	478
929	6262	471
930	6268	464
931	6274	457
932	6281	451
933	6285	444
934	6291	437
935	6297	430
936	6304	423
937	6310	417
938	6316	410
939	6322	403
940	6328	396
941	6334	389
942	6340	383
943	6345	376
944	6351	369
945	6358	362
946	6364	356
947	6370	349
948	6376	342
949	6383	335
950	6389	329
951	6395	322
952	6401	315
953	6405	308
954	6411	302
955	6417	295
956	6423	288
957	6429	281
958	6434	275
959	6441	268
960	6447	261
961	6453	254
962	6458	248
963	6465	241
964	6470	234
965	6489	228
966	6495	221
967	6501	214
968	6507	208
969	6513	201
970	6520	194
971	6526	188
972	6532	181
973	6539	174
974	6544	167
975	6551	161
976	6557	154
977	6564	147
978	6570	140
979	6576	134
980	6581	127
981	6586	120
982	6591	114
983	6598	107
984	6612	100
985	6619	93
986	6625	87
987	6631	80
988	6638	73
989	6645	67
990	6651	60
991	6658	53
992	6664	46
993	6670	40
994	6676	33
995	6682	26
996	6687	20
997	6693	13
998	6699	6
999	6706	0
